69;69;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tczew 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tczew 1;68.2 km;1 hr 2 min
70;70;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Konin 2;318 km;3 hr 41 min
71;71;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 12;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Płock 12;302 km;3 hr 28 min
72;72;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jędrzejów 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Jędrzejów 1;606 km;6 hr 1 min
73;73;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 79;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 79;441 km;4 hr 28 min
74;74;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kamień Pomorski;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kamień Pomorski;286 km;4 hr 23 min
75;75;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lesko;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Lesko;787 km;9 hr 12 min
76;76;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Suchowola;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Suchowola;438 km;5 hr 10 min
77;77;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rumia 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Rumia 1;10.3 km;20 min
78;78;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sosnowiec 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Sosnowiec 1;551 km;6 hr 12 min
79;79;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zgorzelec 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zgorzelec 1;604 km;7 hr 5 min
80;80;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 68;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Poznań 68;335 km;4 hr 19 min
81;81;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skoczów;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Skoczów;617 km;6 hr 54 min
