,distance,sending_weekday,delivery_type,post_office_type,sending_hour_category,vehicle_travel_time,sending_hour,delivery_time_hours
149,341.0,3,Priority registered letter,UP,0,3.262295081967213,11,96.38333333333334
150,267.0,3,Priority registered letter,UP,0,2.5737704918032787,12,24.05
151,550.0,3,Priority registered letter,UP,0,5.213114754098361,12,25.483333333333334
152,39.5,3,Priority registered letter,UP,0,0.7213114754098361,12,19.616666666666667
153,27.7,3,Priority registered letter,UP,0,0.5245901639344263,12,21.05
154,20.6,3,Economy registered letter,UP,0,0.32786885245901637,12,20.266666666666666
155,137.0,3,Priority registered letter,UP,0,1.5245901639344261,12,24.066666666666666
156,20.6,3,Priority registered letter,UP,0,0.32786885245901637,12,22.016666666666666
157,51.7,3,Priority registered letter,UP,0,0.9016393442622951,12,18.7
158,61.1,3,Priority registered letter,UP,0,0.9344262295081968,13,20.85
159,85.4,3,Economy registered letter,UP,0,1.0491803278688525,13,97.26666666666667
160,247.0,3,Economy registered letter,UP,0,2.622950819672131,13,141.01666666666668
161,110.0,3,Priority registered letter,UP,0,1.4918032786885247,13,19.1
162,64.7,3,Economy registered letter,UP,0,1.0327868852459017,13,91.63333333333334
163,264.0,3,Economy registered letter,UP,0,2.721311475409836,13,115.13333333333334
164,261.0,3,Priority registered letter,UP,0,3.0491803278688523,14,21.95
165,110.0,3,Priority registered letter,UP,0,1.4918032786885247,14,18.516666666666666
166,130.0,3,Economy registered letter,UP,0,1.8688524590163935,14,97.58333333333333
167,62.3,3,Priority registered letter,UP,0,0.9180327868852459,14,19.133333333333333
168,39.8,3,Priority registered letter,UP,0,0.6229508196721312,14,26.266666666666666
169,346.0,3,Priority registered letter,UP,0,3.4098360655737703,14,116.71666666666667
170,0.0,3,Economy registered letter,UP,1,0.0,15,22.65
171,27.7,3,Economy registered letter,UP,1,0.5245901639344263,15,90.78333333333333
172,62.5,3,Economy registered letter,UP,1,0.9180327868852459,15,90.71666666666667
173,61.8,3,Economy registered letter,UP,1,0.8688524590163934,15,89.7
