,Address,Coordinates
307,FUP Gdańsk 9,"(54.36143405, 18.62821847557274)"
308,FUP Starogard Gdański 1,"(53.7599575, 15.5331469)"
309,FUP Gdynia 4,"(54.50383255, 18.462806155884614)"
310,FUP Gdańsk 8,"(54.36143405, 18.62821847557274)"
311,FUP Pruszcz Gdański 1,"(54.25785495, 18.65011494396544)"
312,UP Żukowo k. Kartuz,"(54.3458564, 18.3650087)"
313,FUP Główczyce,"(54.6198022, 17.3732889)"
314,UP Gdańsk 44,"(54.36143405, 18.62821847557274)"
315,AP Gdynia,"(54.50383255, 18.462806155884614)"
316,FUP Sopot 1,"(54.44190905, 18.54309444570447)"
317,UP Gdańsk 8,"(54.36143405, 18.62821847557274)"
318,UP Rumia 1,"(54.570081, 18.384623870396354)"
319,UP Darłowo 1,"(54.42914965, 16.403846355275693)"
320,AP Pruszcz Gdański,"(54.25785495, 18.65011494396544)"
321,FUP Gdynia 1,"(54.50383255, 18.462806155884614)"
322,UP Święta Katarzyna,"(53.5575008, 14.6293643)"
323,UP Reda,"(54.6210145, 18.32170890341879)"
324,AP Żukowo,"(54.3458564, 18.3650087)"
325,FUP Kwidzyn 1,"(53.7204653, 18.937464130662192)"
326,UP Góra Kalwaria 1,"(51.6681499, 16.5393277)"
327,UP Gdańsk 18,"(54.36143405, 18.62821847557274)"
328,UP Gdynia 3,"(54.50383255, 18.462806155884614)"
329,UP Kartuzy 1,"(54.3342281, 18.1973639)"
330,UP Gdańsk 26,"(54.36143405, 18.62821847557274)"
331,UP Kraków 73,"(50.0469432, 19.997153435836697)"
332,FUP Gdańsk 53,"(54.36143405, 18.62821847557274)"
333,AP Kielno,"(54.4526152, 18.3382936)"
334,FUP Rumia 4,"(54.570081, 18.384623870396354)"
335,FUP Tczew 1,"(54.09087615, 18.77794352885673)"
336,FUP Rumia 1,"(54.570081, 18.384623870396354)"
337,UP Warszawa 76,"(52.2319581, 21.0067249)"
338,UP Szemud,"(54.4863129, 18.2208129)"
339,UP Trzeszczany,"(50.8216667, 23.7530557)"
340,UP Zawiercie 1,"(50.4844179, 19.4333887)"
341,UP Ogrodzieniec,"(50.4521463, 19.5213629)"
342,UP Zakopane,"(49.2757934, 19.969281065702543)"
343,UP Gdańsk 24,"(54.36143405, 18.62821847557274)"
344,UP Pelplin,"(53.9278352, 18.6985388)"
345,UP Chwaszczyno,"(54.4427019, 18.4194514)"
346,FUP Gdańsk 7,"(54.36143405, 18.62821847557274)"
347,FUP Kartuzy 1,"(54.3342281, 18.1973639)"
348,FUP Człuchów 1,"(53.6634472, 17.358074774000176)"
349,FUP Gdynia 16,"(54.50383255, 18.462806155884614)"
350,UP Gdańsk 42,"(54.36143405, 18.62821847557274)"
351,AP Sobowidz,"(54.1462673, 18.5982177)"
352,FUP Gdańsk 24,"(54.36143405, 18.62821847557274)"
353,UP Skarszewy,"(54.0717523, 18.4459951)"
354,AP Sopot,"(54.44190905, 18.54309444570447)"
355,UP Gdynia 1,"(54.50383255, 18.462806155884614)"
356,AP Reda,"(54.6210145, 18.32170890341879)"
